date,IC_score
2018-01-31,0.10136108700966667
2018-02-28,-0.04479105082416832
2018-03-30,-0.01574991774578657
2018-04-27,0.10698764129476468
2018-05-31,0.06741804503721191
2018-06-29,0.1653764742938427
2018-07-31,0.12285706915506528
2018-08-31,0.11412192433191505
2018-09-28,0.0650213711144743
2018-10-31,0.10911401908212426
2018-11-30,0.08223333718992495
2018-12-28,0.23206902916163355
2019-01-31,-0.06187023852353119
2019-02-28,0.0724228198895486
2019-03-29,0.20835719353117851
2019-04-30,0.04794336127382467
2019-05-31,0.16923319375327964
2019-06-28,0.12602583927722052
2019-07-31,-0.15962196349134777
2019-08-30,0.0812341414930851
2019-09-30,0.11567680198285954
2019-10-31,0.1571241003778073
2019-11-29,-0.050985263916062326
2019-12-31,-0.07680036515699395
2020-01-23,-0.16190693624300773
2020-02-28,0.4002684905001647
2020-03-31,0.16420922808522864
2020-04-30,0.018837705998868807
2020-05-29,-0.03297099989430962
2020-06-30,0.24662091301758515
2020-07-31,0.23025281837590295
2020-08-31,0.13381922461231519
2020-09-30,-0.04439289076888687
2020-10-30,0.28113774641944833
2020-11-30,0.11172687449427038
2020-12-31,0.09470743067967556
2021-01-29,0.23089351776552564
2021-02-26,0.24113737679332484
2021-03-31,0.18479704933354996
2021-04-30,-0.10576316163518037
2021-05-31,0.06712494983409827
2021-06-30,0.05579560093829022
2021-07-30,0.06131954191733757
2021-08-31,0.34682689453010457
2021-09-30,-0.059075862865394416
2021-10-29,-0.10692818161282107
2021-11-30,0.36757146528855195
2021-12-31,0.3948207487475793
2022-01-28,0.07677266573645775
2022-02-28,0.035864768943730384
2022-03-31,0.3757237178854025
2022-04-29,0.07992414741625302
2022-05-31,-0.0028995505800868526
2022-06-30,0.02400340400596474
2022-07-29,0.254566137451474
2022-08-31,0.12318660959081693
2022-09-30,-0.11592851405559017
2022-10-31,0.25514128287020377
2022-11-30,0.09306586123476607
2022-12-30,0.14446977739929603
2023-01-31,0.23461326666436058
2023-02-28,-0.01229971265258958
2023-03-31,0.24771999925815136
2023-04-28,0.006160076488912369
2023-05-31,-0.0004817303372635746
2023-06-30,0.44787460936150414
2023-07-31,0.1618997027320748
2023-08-31,0.13116127228627386
2023-09-28,-0.1333911035359205
2023-10-31,-0.1465879750983673
2023-11-30,0.19345447309450722
2023-12-29,0.5349260843400677
2024-01-31,-0.08058921274863196
2024-02-29,0.04044262750587007
2024-03-29,0.43420316466296294
2024-04-30,0.14266705412545205
2024-05-31,0.11065279530336786
2024-06-28,0.13247574509798088
2024-07-31,0.11483202098088312
2024-08-30,-0.2273925009136072
2024-09-30,-0.2709000749974884
2024-10-31,0.24745902112432047
2024-11-29,0.2899025080752579
2024-12-31,-0.05376651456581847
2025-01-27,-0.24094190029032989
2025-02-28,0.4780953462563796
2025-03-31,0.253325734391468
2025-04-30,0.008190943686370373
2025-05-30,-0.13624784788415334
2025-06-30,0.2898978533507133
2025-07-31,-0.00041014901221796444
2025-08-29,0.15354332856376998
2025-09-30,0.2287755738959896
2025-10-31,0.05423148972903447
2025-11-28,0.039120300608783146
2025-12-31,0.18532223426528216
2026-01-30,0.018457052836280585
2026-02-27,0.24593440671406536
2026-03-31,0.037141244969786456
2026-04-30,0.033942042061481964
