top_n,总收益,年化收益,最大回撤,夏普比率,胜率,月均换手,平均持仓数,调仓次数
10,42.9%,4.7%,-21.8%,0.20,49%,100%,10,94
20,63.3%,6.5%,-24.6%,0.29,51%,100%,20,94
30,67.2%,6.8%,-23.2%,0.30,51%,100%,30,94
