date,EP_Q1,EP_Q2,EP_Q3,EP_Q4,EP_Q5,BP_Q1,BP_Q2,BP_Q3,BP_Q4,BP_Q5,dividend_yield_Q1,dividend_yield_Q2,dividend_yield_Q3,dividend_yield_Q4,dividend_yield_Q5,ROE_Q1,ROE_Q2,ROE_Q3,ROE_Q4,ROE_Q5,grossprofit_margin_Q1,grossprofit_margin_Q2,grossprofit_margin_Q3,grossprofit_margin_Q4,grossprofit_margin_Q5,momentum_1m_Q1,momentum_1m_Q2,momentum_1m_Q3,momentum_1m_Q4,momentum_1m_Q5,liquidity_avg_Q1,liquidity_avg_Q2,liquidity_avg_Q3,liquidity_avg_Q4,liquidity_avg_Q5,momentum_3m_Q1,momentum_3m_Q2,momentum_3m_Q3,momentum_3m_Q4,momentum_3m_Q5,turnover_change_Q1,turnover_change_Q2,turnover_change_Q3,turnover_change_Q4,turnover_change_Q5,volatility_60d_Q1,volatility_60d_Q2,volatility_60d_Q3,volatility_60d_Q4,volatility_60d_Q5,momentum_6m_Q1,momentum_6m_Q2,momentum_6m_Q3,momentum_6m_Q4,momentum_6m_Q5
2018-01-31,-0.031193759522184603,-0.017841160320267092,-0.0035588864597771745,-0.004936496558887418,-0.031233679214107427,-0.00755395514391674,-0.0196879399482919,-0.019613759363678308,-0.023318713898492112,-0.028552375901369702,-0.02921300912014805,-0.009574969499300546,-0.004253301072100859,-0.028997354624672872,-0.02351090075757885,-0.03954750571335006,-0.03559149348909393,-0.011515888747405188,-0.0190866789601156,0.007153925047996162,-0.038470332965996536,-0.02368944199867337,-0.01924192211276189,-0.006202208985458987,-0.0066740878697017164,0.008093909389768712,-0.01479106179013048,-0.01929144699549024,-0.03483355981849221,-0.038343819564200285,-0.03391426117721674,-0.030359757751942714,-0.022418621187388233,0.0009355826869054996,-0.013256747574078954,,,,,,,,,,,,,,,,,,,,
2018-02-28,0.04599962994213745,0.0482163926576282,0.042132287260142724,0.021367565885378012,-0.01566539976344041,0.040100312219047675,0.04847036696077192,0.03414899179028,0.019657473324958222,0.0006357076998683861,,,,,,0.02993577375095168,0.028689032816510092,0.035168294010102324,0.03195276275043325,0.017234721232796162,0.003678384183684499,0.021385719758030473,0.02378848914963617,0.036773168608799686,0.06144130851954951,0.06456821984807988,0.046785959311137194,0.01228013031412176,0.0015163640570674277,0.012282833366677622,0.04641327625248059,0.048506102919682256,0.011256978734862986,0.03273531539341585,0.0032113761930700575,,,,,,,,,,,,,,,,,,,,
2018-03-30,-0.03821204020301893,-0.04069515301718864,-0.03606959551384895,-0.04872644310415613,-0.057084467752667165,-0.03661215763929332,-0.050449642063946046,-0.0362261310745656,-0.04500047778785508,-0.047085646929799316,,,,,,-0.0411822380968637,-0.04276165253454769,-0.03653837196110501,-0.04736494053556251,-0.047507153744718485,-0.047194327286604984,-0.04915053987903058,-0.04255949068268992,-0.04528786285618719,-0.03167573970288487,-0.05215031429401704,-0.03873823327265169,-0.033450159767748795,-0.02751404834917636,-0.058262508432587616,-0.024474568252159462,-0.03696019996845246,-0.03621707868425757,-0.057827477093136716,-0.05994704869308733,,,,,,,,,,,,,,,,,,,,
2018-04-27,-0.019462772937298874,-0.0012214759632432548,-0.020401578042459106,-0.005525624367296771,-0.014221399323256488,-0.011602440069413989,-0.012771574175079391,-0.0074620788421012035,-0.012813179995238101,-0.009497793561865907,,,,,,-0.02705142285475659,-0.01755228495600393,-0.011825797276398974,-0.014281991395786668,0.01612660409258009,-0.007769949604297248,-0.000736542985827312,-0.009722720030017494,-0.02690543258668704,-0.007176128548939885,-0.00037951579233402866,-0.0031849722563233275,-0.009425528202029961,-0.012012755386167242,-0.02838641595852979,0.007899077963061848,-0.014166162063983953,-0.0037656894080935325,-0.02215690088910699,-0.02204108974786127,0.0005861549596332327,0.009156912279768316,0.002352978552198966,-0.02041300057495989,-0.04147096971615425,-0.016073988839534814,0.001784221983632799,-0.002839171934793481,-0.013214295807733043,-0.023784640848831765,-0.006483589353548179,-0.005524781132214224,-0.009139808096285769,-0.025648292572847637,-0.006374231218610426,,,,,
2018-05-31,-0.12313536119953725,-0.12895196407053583,-0.13822671518229362,-0.11948377194435049,-0.11875342035905877,-0.10634078896898391,-0.12831279902945913,-0.1416573593293537,-0.1343322852286176,-0.1159973776977248,,,,,,-0.12590623533627524,-0.13154469314324926,-0.13595934575289975,-0.11888387160414968,-0.11432232029224126,-0.11877295069039898,-0.12381935045360774,-0.13865614451823513,-0.12311735965691963,-0.12237011857680652,-0.09746946272540154,-0.1281525218954966,-0.11843280821334125,-0.1375445566658336,-0.15055940662581896,-0.1252479364346609,-0.1426066437349312,-0.13628289679900984,-0.11888478609285141,-0.10334017830225484,-0.11105393474968094,-0.12269311745645636,-0.13180728094018224,-0.13464839850221683,-0.13438203635040483,-0.12543500698139787,-0.12239207461547345,-0.11635800920278473,-0.1297394226355515,-0.13243792792850062,-0.1340270443521577,-0.13711768169019006,-0.12753158281428512,-0.1298134698272622,-0.09665420493417866,,,,,
2018-06-29,0.016403028172651858,0.004429570779146924,0.009189033858002467,0.003558409567449972,0.014946092008808462,-0.022728688427898717,0.01719558310855481,0.021506784983431962,0.017324199139841356,0.03048723175716607,0.03882775609568638,0.0040155774847092755,-0.0010895056256151712,0.016361009491543933,0.0170882886592915,0.034981275215271085,0.009638860247099866,0.01083803694102777,0.01155739228370073,-0.0034709123078505025,0.026676413955293844,0.022049727210313036,0.014935202048113747,0.012360526999173428,-0.011258279581775086,0.02392425932589807,0.0371405194822731,0.01548878879901856,0.002097375078455632,-0.014212146939259712,0.04114020273260287,0.026246396729244895,0.01327553485097066,0.005418478676705281,-0.02260667426190673,0.027267912271604692,0.03513855766168955,0.01666037996271188,-0.005801060321309964,-0.012935563033391325,0.013199752422050222,0.0199481658230543,0.020411204762273604,0.010791637229014472,-0.0008510513944294689,0.024622007936200646,0.01011076693844312,0.017871617076573983,0.017214595026050595,-0.0063439836488872695,,,,,
2018-07-31,-0.058822321669295415,-0.0490320182634671,-0.03709626118564936,-0.058102702755912186,-0.054687432997520456,-0.06075935324600316,-0.057003705419451024,-0.05241397785223343,-0.05217004009735822,-0.04232798870809813,-0.05255468387486985,-0.048276828700535304,-0.057583998798835384,-0.049070532299694936,-0.05065565983466522,-0.06883498351223993,-0.05179208124698613,-0.04434734703989418,-0.042381134201389246,-0.057286557566445746,-0.060505675465607506,-0.05453149841623051,-0.05598180576915799,-0.05117398479975824,-0.04343411467941879,-0.06861509907981937,-0.053531935482930185,-0.045125009428146616,-0.041379966285624944,-0.052833339000411796,-0.04110560641517313,-0.05557213918239425,-0.05348430220230955,-0.056357997674046215,-0.058317985348771514,-0.05688864745281279,-0.03749288382185415,-0.05431552356800164,-0.048051206585513685,-0.0586723217828091,-0.06588047650403947,-0.0497777133776049,-0.046817857604965284,-0.049901057837995345,-0.05238402383045475,-0.0389873899732764,-0.04679907449340606,-0.04640314543358757,-0.0575676861346935,-0.07509797227360535,-0.0668379082300719,-0.055670156189715166,-0.04440640839710367,-0.045944754089823465,-0.048728809959412346
2018-08-31,-0.03189682652168429,-0.05364847373932231,-0.04210615772310262,-0.0392379492486198,-0.03842715129609646,-0.05702093181813643,-0.04807900867440045,-0.038130844883801716,-0.03271220302750556,-0.022877139971621694,-0.03479434691948023,-0.06221500790417303,-0.041069649296176895,-0.030880890766486223,-0.02650647613627238,-0.029765859307203817,-0.030823854586583575,-0.04490397803459731,-0.04017604890379795,-0.053260731966404386,-0.03157264126698891,-0.03449487851699827,-0.04320717736643618,-0.04537008049486875,-0.04542851143406568,-0.021896205655859726,-0.04270738886964666,-0.04119428719556544,-0.036686086829112466,-0.05440593871662564,-0.028994751959133827,-0.03900357333791677,-0.04292222957779578,-0.028831304373240257,-0.05923026319166271,-0.03382169518549442,-0.039340349758375144,-0.03848830560117328,-0.044180246458239175,-0.04649379184904564,-0.030817002206449954,-0.039781728668271545,-0.038746436438336966,-0.0406246953922676,-0.04904611357801168,-0.034249316778439544,-0.037168198650022036,-0.041784877763434196,-0.05600618235118267,-0.02812681616851964,-0.038443263988306955,-0.04902285882425113,-0.041150018205171404,-0.04068746029643018,-0.04205659233166916
2018-09-28,-0.07063830882867768,-0.0664965832064045,-0.06275572948367351,-0.0713210907260822,-0.06424531484158857,-0.06828225224795363,-0.06264860319998002,-0.07043059881862107,-0.07201965741250929,-0.06663893132231373,-0.08020981351080844,-0.06689670438691396,-0.0714785308246087,-0.0654577407452758,-0.06189129609484977,-0.07214397820167005,-0.07401284367885722,-0.07055987558542928,-0.05888089084047961,-0.06442245469494157,-0.0727110132370438,-0.0768321776132488,-0.0635918482791391,-0.06636437210842411,-0.06828111511718599,-0.06709944401336988,-0.07021884094927905,-0.06290136847144136,-0.06096687669295647,-0.0774561817372016,-0.05182383837242198,-0.06160901131085721,-0.06992968560338823,-0.0756241432619349,-0.08058112122243785,-0.06958581050073558,-0.06518840085828044,-0.06391824733065446,-0.07048347071314233,-0.06546464982515939,-0.05716228081241855,-0.06706813664962026,-0.06488004703707653,-0.08002865655351743,-0.07040706559111996,-0.062379267472858636,-0.06925866817529815,-0.06470740519800128,-0.06435324379482132,-0.0788264805992898,-0.06624045612725858,-0.07148685079167458,-0.0721918434256969,-0.058019592535258256,-0.06914385406145221
2018-10-31,0.09848921962503802,0.08455278660310035,0.07401627938445708,0.07506083438665194,0.06678248555392885,0.056616699467069216,0.0878816192496962,0.09030636658662042,0.09007262466762381,0.10087528146094323,0.10314200170422737,0.06635506552762792,0.09228741840521572,0.08456143976758089,0.09196625217158294,0.11912043379872293,0.10473878042536962,0.08226002315020405,0.06778647050728788,0.05179319695108125,0.08856900451777944,0.08984828869633675,0.08871628185383494,0.07344635482350474,0.08688243919341235,0.11219882637540211,0.10076326647053795,0.08194276719131557,0.0805369280646084,0.05427500040419649,0.10485830974353026,0.09554246765023629,0.0953371670780803,0.07989266188234605,0.049607084492908626,0.1095931902801455,0.09829626876474938,0.09841578796726871,0.077379143429624,0.04590277080001865,0.09664764895006604,0.08910374563815415,0.0768044727276608,0.08805697073634344,0.07463172764285286,0.07254228665990259,0.09749101286540733,0.09597292089331223,0.085516096993866,0.07657934716742879,0.1073311522452041,0.10188963792653936,0.09673780519252655,0.07437026082732892,0.040453554737851304
